
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     23    14.20      36.43       0.06   11888   2 ApplicationFrameHo…
     12     2.77      10.62       0.06   17840   2 AutoHotkey64
     33    17.48       2.01       0.30   19104   2 backgroundTaskHost
     20    64.72      88.41       0.38    2288   2 Code
     39   307.73     340.83     119.89    3124   2 Code
     12    14.17      27.02       0.00    3592   2 Code
     49   111.45     138.29       6.88    4504   2 Code
     17    60.85      90.24       1.02    5500   2 Code
     67   563.99     539.35      18.59   12372   2 Code
     16    22.76      84.23       0.27   12380   2 Code
     22    88.53     114.37      17.53   14636   2 Code
     18    16.67      39.61       0.45   16532   2 Code
     19   112.84     110.04       0.86   19040   2 Code
     23    95.24     125.85      29.61   19852   2 Code
     16    24.47      85.71       0.41   21144   2 Code
     42    95.35     112.59       2.70   22284   2 Code
     10     5.52       7.14       0.00    4952   0 conhost
      8     5.39       1.04       0.03    8376   2 conhost
      8     1.38       6.93       0.38   10772   2 conhost
      8     1.26       6.77       0.02   13828   2 conhost
      7     5.11       5.55       0.00   15204   0 conhost
      7     5.27      10.68       0.00   16976   2 conhost
      8     5.40      11.67       0.06   19388   2 conhost
      8     5.41      11.66       0.00   20472   2 conhost
     85    21.84      70.13       1.36   18528   2 CrossDeviceService
     19     2.11       5.24       0.00     948   0 csrss
     27     2.75       7.03       0.00    8808   2 csrss
     20     7.12      26.44       2.03   19468   2 ctfmon
      8     1.63       7.55       0.00    7312   2 dllhost
     18     3.95      13.19       0.11   22640   2 dllhost
     73    89.39      97.76       0.00   13912   2 dwm
    114   130.89     203.73      10.03   10500   2 explorer
     18    27.70      28.78       0.14    5304   2 firefox
     41   115.23     114.15      13.20    6108   2 firefox
     31    80.62     107.55       3.78    6112   2 firefox
     30    60.00      81.10       0.56    6416   2 firefox
     15    20.78      15.89       0.02    8516   2 firefox
     12    36.97      15.25       2.62    9704   2 firefox
    120   664.17     688.20     131.48   10052   2 firefox
     18    27.67      28.70       0.02   10320   2 firefox
     18    27.68      28.81       0.12   12332   2 firefox
     90   399.80     409.78      17.09   15028   2 firefox
     66   376.75     400.32      29.64   16832   2 firefox
     34    95.22     137.57       1.28   17580   2 firefox
     17    20.54      13.83       0.00   18984   2 firefox
     22    43.57      30.11       0.22   20872   2 firefox
    148   364.32     406.47      54.58   22172   2 firefox
     74   400.46     280.39      54.25   22876   2 firefox
      6     1.63       3.47       0.00    1204   0 fontdrvhost
      8     2.69       5.40       0.00    3344   2 fontdrvhost
     28     5.49       2.64       1.31    5236   2 GoogleInputHandler
     10     1.80       6.24       0.00    3628   0 GoogleInputService
      0     0.06       0.01       0.00       0   0 Idle
     11     2.14       8.13       0.00    1700   0 igfxCUIService
     15     3.51      14.03       0.27   21472   2 igfxEM
      9     1.43       6.28       0.00    1708   0 IntelCpHDCPSvc
      8     1.60       6.13       0.00    1880   0 IntelCpHeciSvc
     28   354.00     261.82       5.45   20216   2 java
      9     1.29       5.68       0.00    3676   0 jhi_service
     12     3.14       9.19       0.00    3924   0 LMS
     12     1.46       3.55       0.00    1048   0 LsaIso
     33    12.68      28.79       0.00    1064   0 lsass
      0     1.41     168.67       0.00    2472   0 Memory Compression
     32    33.46      46.56       0.27   14480   2 Microsoft.SharePoi…
     20    19.18      34.08       0.00    3060   0 MoUsoCoreWorker
     17    10.93      17.56       0.00    3796   0 MpDefenderCoreServ…
     23    47.87       4.39       0.33   12568   2 msedgewebview2
      9     2.05       7.38       0.00   15180   2 msedgewebview2
     10     8.14       0.14       0.08   19540   2 msedgewebview2
     18    10.54       2.04       0.20   20152   2 msedgewebview2
     24   101.49       2.41       3.84   20492   2 msedgewebview2
     44    36.90       9.28       0.67   23200   2 msedgewebview2
    226   370.56     275.18       0.00    3764   0 MsMpEng
     13    32.78       8.07       0.00    3840   0 mysqld
    300   585.77      60.04       0.00    4944   0 mysqld
     16     4.23      15.55       0.00    3664   0 NahimicService
     18    26.07      22.43       0.03   14344   2 NhNotifSys
     12     3.82       9.55       0.00    9168   0 NisSrv
     90    15.07      35.48       0.00    3708   0 nvcontainer
     22     9.58      29.10       0.69   15896   2 nvcontainer
     29    39.82      37.53       4.81   18072   2 nvcontainer
     23    25.79      32.24       0.00    2184   0 NVDisplay.Container
     30    30.76      36.93       0.00    6444   2 NVDisplay.Container
     25    31.90      40.60       0.02    3884   2 NVIDIA Share
     32    50.03      54.56       0.73   17220   2 NVIDIA Share
     46    33.28      61.63       2.77   21680   2 NVIDIA Share
     79    30.00      19.98       0.61    7524   2 NVIDIA Web Helper
     14     3.05      13.55       0.25   19988   2 nvsphelper64
     28    50.34      41.00       0.00   23436   0 OfficeClickToRun
     31    37.96      41.19       0.00    3644   0 OneApp.IGCC.WinSer…
      6     2.25       6.98       0.20    7040   2 pet
    139    69.77     176.29       3.08   10404   2 PhoneExperienceHost
     27    23.80      17.89       0.00    6776   0 PresentationFontCa…
     90    55.72     131.71       4.89   19160   2 pwsh
     99    63.64     145.09       5.45   20792   2 pwsh
     23    57.50      64.77       1.27    3044   2 python
     12    21.52      27.64       0.19   10108   2 python
     18     7.43      44.24       0.00     212   0 Registry
     17    14.25       9.71       0.00    3740   0 RtkAudUService64
     14    13.00      12.18       0.20   22700   2 RtkAudUService64
     13     3.76      15.32       0.16    1820   2 RuntimeBroker
     11     2.25      10.82       0.00    7900   2 RuntimeBroker
     23     7.72      31.46       0.75    9276   2 RuntimeBroker
      8     1.33       7.27       0.00    9912   2 RuntimeBroker
     32    13.90      46.69       0.73   13308   2 RuntimeBroker
     22     5.95      29.29       0.25   14024   2 RuntimeBroker
     14     2.85      16.34       0.05   20336   2 RuntimeBroker
     90   114.36     203.23       4.53    3752   2 SearchHost
     23    49.23      53.73       0.00   22988   0 SearchIndexer
     26    21.14      25.95       0.00   16752   0 SebWindowsServiceW…
      0     0.18      48.11       0.00     140   0 Secure System
     21     7.50      18.03       0.00   12128   0 SecurityHealthServ…
     10     1.80      10.03       0.02    4708   2 SecurityHealthSyst…
